E_RMS: 	0.0013644940 
E_MMX: 	0.0028475461 

C[0, 0, 0, 0, 0, 0] = 0.1422419869 
C[0, 1, 0, 0, 0, 0] = 0.0686348337 
C[0, 0, 1, 0, 0, 0] = 0.0668874867 
C[1, 0, 0, 0, 0, 0] = 0.0638287437 

Suggested Equation:
f(X)=+0.142+0.069x_{2}+0.067x_{3}+0.064x_{1}

index	Data Values	Approximation Values
(74)	 0.2413998750 	0.2426272658 
(75)	 0.2241296010 	0.2212820549 
(76)	 0.2542999100 	0.2543650206 
(77)	 0.2543836600 	0.2550016493 
(78)	 0.1751838000 	0.1769109043 
(79)	 0.2786503180 	0.2769794718 
(80)	 0.2474806930 	0.2478246121 
(81)	 0.1786444610 	0.1804542850 
(82)	 0.2247214320 	0.2239570318 
(83)	 0.2437473350 	0.2416430945 
(84)	 0.1933258290 	0.1913298258 
(85)	 0.2524298410 	0.2503921783 
(86)	 0.2055572440 	0.2051975591 
(87)	 0.1667003390 	0.1675689290 
(88)	 0.3062484150 	0.3042322037 
(89)	 0.2704171810 	0.2693852594 
(90)	 0.1972485180 	0.1988890677 
(91)	 0.2542460160 	0.2537198755 
(92)	 0.2710551690 	0.2703032402 
(93)	 0.2256669050 	0.2258530636 
(94)	 0.2057847610 	0.2051408599 
(95)	 0.2391832330 	0.2378581477 
(96)	 0.2514136390 	0.2512333808 
(97)	 0.2458636950 	0.2457242349 
(98)	 0.2644526260 	0.2637555609 
(99)	 0.2527125350 	0.2506299210 
(100)	 0.2165699880 	0.2150464504 
(101)	 0.3180408470 	0.3161969074 
(102)	 0.2793330300 	0.2786775038 
(103)	 0.2447465710 	0.2442474585 
(104)	 0.2262655010 	0.2286248987 
(105)	 0.2685594160 	0.2697635863 
(106)	 0.2453234460 	0.2451315839 
(107)	 0.2052687410 	0.2042942645 
(108)	 0.2514334050 	0.2487764982 
(109)	 0.2463018070 	0.2464103468 
(110)	 0.2215438990 	0.2219401592 
(111)	 0.2257084820 	0.2258772130 
(112)	 0.2603633890 	0.2607861065 
(113)	 0.2589663610 	0.2563176202 
(114)	 0.1864120680 	0.1847616121 
(115)	 0.2197085750 	0.2175081378 
(116)	 0.2996759660 	0.2969503209 
(117)	 0.2333225430 	0.2339517371 
(118)	 0.2798856510 	0.2794299675 
(119)	 0.2575193670 	0.2566100564 
(120)	 0.1708285080 	0.1716974677 
(121)	 0.2459536970 	0.2432847840 
(122)	 0.2728534990 	0.2713188023 
(123)	 0.2683710610 	0.2699464305 
(124)	 0.2140199640 	0.2124240804 
(125)	 0.1726252240 	0.1729154301 
(126)	 0.2537372030 	0.2547181879 
(127)	 0.2670119850 	0.2646923838 
(128)	 0.2146260790 	0.2123102795 
(129)	 0.2996567100 	0.3000144336 
(130)	 0.1776648570 	0.1769096539 
(131)	 0.2647280190 	0.2639736560 
(132)	 0.3067197470 	0.3050924396 
(133)	 0.2465680390 	0.2464133779 
(134)	 0.1964095330 	0.1956031180 
(135)	 0.2289188240 	0.2295330421 
(136)	 0.2128315340 	0.2144066910 
(137)	 0.2461023050 	0.2458934181 
(138)	 0.3044886160 	0.3026285900 
(139)	 0.2289540710 	0.2262711242 
(140)	 0.2746740210 	0.2736002091 
(141)	 0.2685211710 	0.2691429418 
(142)	 0.1894406950 	0.1889228097 
(143)	 0.2898709020 	0.2875476015 
(144)	 0.2139084960 	0.2146052708 
(145)	 0.3017116090 	0.3009999000 
(146)	 0.2466180900 	0.2442637446 
(147)	 0.2205916690 	0.2195331956 
(148)	 0.1892507050 	0.1906100359 
(149)	 0.3093017950 	0.3102955555 
(150)	 0.2778592230 	0.2784321840 
