E_MMX_TRAIN: 0.0020283642 	 E_RMS_TRAIN: 0.0012022107 
E_MMX_TEST:  0.0024184200 	 E_RMS_TEST:  0.0013898565 
E_MMX:       0.0024184200 	 E_RMS:       0.0012430469 

C[0, 0, 0, 0, 0, 0] = 0.1422419869 
C[0, 0, 1, 0, 0, 0] = 0.0668874867 
C[0, 0, 3, 0, 0, 0] = 0.0021177359 
C[0, 0, 4, 2, 1, 8] = 0.0171509892 
C[0, 1, 0, 0, 0, 0] = 0.0686348337 
C[1, 0, 0, 0, 0, 0] = 0.0638287437 
C[3, 0, 0, 0, 0, 0] = -0.0000532659 
C[3, 0, 4, 0, 0, 0] = -0.0089234092 
C[7, 0, 2, 0, 0, 0] = 0.0119646808 

Equation:
f(X)=+0.142+0.067x_{3}+0.002x_{3}^{3}+0.017x_{3}^{4}x_{4}^{2}x_{5}x_{6}^{8}+0.069x_{2}+0.064x_{1}-0.0x_{1}^{3}-0.009x_{1}^{3}x_{3}^{4}+0.012x_{1}^{7}x_{3}^{2}

index	Data Values	Approximation Values
(100)	 0.2165699880 	0.2150525931 
(101)	 0.3180408470 	0.3182546472 
(102)	 0.2793330300 	0.2795882139 
(103)	 0.2447465710 	0.2459023665 
(104)	 0.2262655010 	0.2286234079 
(105)	 0.2685594160 	0.2704532100 
(106)	 0.2453234460 	0.2456829283 
(107)	 0.2052687410 	0.2043027196 
(108)	 0.2514334050 	0.2495267536 
(109)	 0.2463018070 	0.2473935679 
(110)	 0.2215438990 	0.2220254214 
(111)	 0.2257084820 	0.2262421046 
(112)	 0.2603633890 	0.2624986068 
(113)	 0.2589663610 	0.2576507043 
(114)	 0.1864120680 	0.1849149865 
(115)	 0.2197085750 	0.2181007871 
(116)	 0.2996759660 	0.2977150141 
(117)	 0.2333225430 	0.2339585069 
(118)	 0.2798856510 	0.2797553124 
(119)	 0.2575193670 	0.2587145391 
(120)	 0.1708285080 	0.1717193773 
(121)	 0.2459536970 	0.2439251990 
(122)	 0.2728534990 	0.2737856143 
(123)	 0.2683710610 	0.2702303670 
(124)	 0.2140199640 	0.2124241833 
(125)	 0.1726252240 	0.1729154573 
(126)	 0.2537372030 	0.2551193355 
(127)	 0.2670119850 	0.2658690435 
(128)	 0.2146260790 	0.2135312677 
(129)	 0.2996567100 	0.3005325720 
(130)	 0.1776648570 	0.1769394029 
(131)	 0.2647280190 	0.2640927376 
(132)	 0.3067197470 	0.3055065152 
(133)	 0.2465680390 	0.2466229449 
(134)	 0.1964095330 	0.1958230754 
(135)	 0.2289188240 	0.2297167414 
(136)	 0.2128315340 	0.2146253841 
(137)	 0.2461023050 	0.2459983050 
(138)	 0.3044886160 	0.3034630434 
(139)	 0.2289540710 	0.2277655987 
(140)	 0.2746740210 	0.2767022779 
(141)	 0.2685211710 	0.2696092840 
(142)	 0.1894406950 	0.1889757524 
(143)	 0.2898709020 	0.2878423186 
(144)	 0.2139084960 	0.2146161291 
(145)	 0.3017116090 	0.3016224388 
(146)	 0.2466180900 	0.2452963045 
(147)	 0.2205916690 	0.2197435332 
(148)	 0.1892507050 	0.1907475601 
(149)	 0.3093017950 	0.3113299028 
(150)	 0.2778592230 	0.2790390973 
